Ano;ipva
2002;70.985
2002;70.655
2003;74.013
2003;73.951
2004;77.817
2004;77.048
2005;81.701
2005;80.340
2006;83.843
2006;85.639
2007;87.506
2007;89.991
2008;91.220
2008;94.576
2009;94.024
2009;97.344
2010;95.068
2010;98.293
2011;98.961
2011;96.055
2012;98.943
2012;96.583
2013;96.403
2013;97.540
2014;95.905
2014;95.740
2015;94.822
2015;95.279
2016;95.195
2016;94.212
2017;95.586
2017;94.558
2018;96.794
2018;96.482
2019;98.285
2019;98.518
2020;99.407
2020;99.833
2021;100.000
2021;100.000
2022;101.343
2022;101.239
2023;103.343
2023;103.425
